"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"2574",155000,900,900,1,2,9,5,0,2,2,2,8,2
"2575",38000,889,889,1,2,5,3,2,2,2,2,2,2
"2576",11200,500,500,1,2,5,3,2,2,2,2,2,1
"2577",14000,596,596,1,2,9,3,0,2,2,2,2,2
"2578",9000,442,442,1,2,5,3,0,2,2,2,2,2
"2579",459400,4000,4000,1,2,9,6,2,2,2,2,1,2
"2580",67300,1450,1450,1,2,9,3,0,2,2,2,1,2
"2581",245000,2000,2000,1,1,5,5,0,2,2,2,1,2
"2582",70000,1550,1550,1,2,9,5,4,2,2,2,2,1
"2583",2400,249,249,1,2,9,4,0,2,2,2,2,2
"2584",10000,177,177,1,2,9,2,0,2,2,2,1,2
"2585",16000,450,450,1,2,9,5,0,2,2,2,2,1
"2586",26600,596,596,1,2,9,4,4,2,2,2,2,2
"2587",21661,500,500,1,2,9,4,0,2,2,2,2,2
"2588",2760,230,90,1,2,9,3,4,2,2,2,1,1
"2589",58200,1300,1300,1,2,9,4,0,2,2,2,1,2
"2590",21020,460,460,1,2,9,4,2,2,2,2,1,2
"2591",-29056,460,460,1,2,5,4,4,2,2,2,1,2
"2592",20000,600,400,1,1,9,3,4,0,0,0,1,2
"2593",50000,1450,1450,1,8,9,2,0,2,2,0,2,2
"2594",9999999,1450,1450,1,2,9,2,0,2,2,2,2,2
"2595",10000,2000,2000,1,2,9,5,0,2,2,2,1,2
"2596",45000,2000,2000,1,2,9,5,0,2,2,2,1,2
"2597",13000,99999,99999,1,2,9,5,0,2,2,2,1,2
"2598",19000,1000,1000,1,1,9,3,0,2,2,2,2,2
"2599",13546,99999,99999,1,2,9,7,0,2,2,2,1,2
"2600",14000,99999,99999,1,2,9,7,0,2,2,2,2,2
"2601",27000,850,0,1,2,9,5,0,2,2,2,2,2
"2602",108000,2550,2550,1,2,9,5,0,2,2,2,2,2
"2603",147000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2604",51296,1400,99998,1,2,9,4,0,2,2,0,2,2
"2605",22532,1800,800,1,1,5,5,4,2,2,2,1,1
"2606",28400,500,99998,1,1,5,5,4,2,2,2,1,1
"2607",111500,900,900,1,2,9,8,0,2,2,2,2,2
"2608",60000,99999,99999,1,2,9,6,0,2,2,2,2,2
"2609",19200,1200,1200,1,2,9,4,0,2,2,2,2,2
"2610",55600,99999,99999,1,2,9,5,0,0,2,0,2,2
"2611",130780,1100,1100,1,2,8,3,0,2,2,2,8,8
"2612",83600,1200,1200,1,2,9,6,0,2,2,2,1,2
"2613",6000,99999,99999,1,2,2,8,2,2,2,2,1,2
